RRAS,DEPARTAMENTO REGIONAL DE SAÚDE,REGIÃO DE SAÚDE,Município
RRAS 10,3509 MARÍLIA,35091 ADAMANTINA,350010 Adamantina
RRAS 12,3515 SÃO JOSÉ DO RIO PRETO,35156 JOSÉ BONIFÁCIO,350020 Adolfo
RRAS 15,3514 SÃO JOÃO DA BOA VISTA,35142 MANTIQUEIRA,350030 Aguaí
RRAS 15,3514 SÃO JOÃO DA BOA VISTA,35142 MANTIQUEIRA,350040 Águas da Prata
RRAS 15,3507 CAMPINAS,35074 CIRCUITO DAS ÁGUAS,350050 Águas de Lindóia
RRAS 09,3506 BAURU,35061 VALE DO JURUMIRIM,350055 Águas de Santa Bárbara
RRAS 14,3510 PIRACICABA,35103 PIRACICABA,350060 Águas de São Pedro
RRAS 09,3506 BAURU,35062 BAURU,350070 Agudos
RRAS 08,3516 SOROCABA,35161 ITAPETININGA,350075 Alambari
RRAS 11,3511 PRESIDENTE PRUDENTE,35112 ALTA SOROCABANA,350080 Alfredo Marcondes
RRAS 13,3505 BARRETOS,35051 NORTE-BARRETOS,350090 Altair
RRAS 13,3513 RIBEIRÃO PRETO,35133 VALE DAS CACHOEIRAS,350100 Altinópolis
RRAS 12,3502 ARAÇATUBA,35023 DOS CONSÓRCIOS DO DRS II,350110 Alto Alegre
RRAS 08,3516 SOROCABA,35163 SOROCABA,350115 Alumínio
RRAS 12,3515 SÃO JOSÉ DO RIO PRETO,35157 VOTUPORANGA,350120 Álvares Florence
RRAS 11,3511 PRESIDENTE PRUDENTE,35112 ALTA SOROCABANA,350130 Álvares Machado
RRAS 10,3509 MARÍLIA,35093 MARÍLIA,350140 Álvaro de Carvalho
RRAS 10,3509 MARÍLIA,35093 MARÍLIA,350150 Alvinlândia
RRAS 15,3507 CAMPINAS,35072 REG METRO CAMPINAS,350160 Americana
RRAS 13,3503 ARARAQUARA,35031 CENTRAL DO DRS III,350170 Américo Brasiliense
RRAS 12,3515 SÃO JOSÉ DO RIO PRETO,35157 VOTUPORANGA,350180 Américo de Campos
RRAS 15,3507 CAMPINAS,35074 CIRCUITO DAS ÁGUAS,350190 Amparo
RRAS 14,3510 PIRACICABA,35104 RIO CLARO,350200 Analândia
RRAS 12,3502 ARAÇATUBA,35022 DOS LAGOS DO DRS II,350210 Andradina
RRAS 08,3516 SOROCABA,35161 ITAPETININGA,350220 Angatuba
RRAS 09,3506 BAURU,35063 POLO CUESTA,350230 Anhembi
RRAS 11,3511 PRESIDENTE PRUDENTE,35112 ALTA SOROCABANA,350240 Anhumas
RRAS 17,3517 TAUBATÉ,35172 CIRCUITO DA FÉ - VALE HISTÓRICO,350250 Aparecida
RRAS 12,3515 SÃO JOSÉ DO RIO PRETO,35153 JALES,350260 Aparecida d'Oeste
RRAS 08,3516 SOROCABA,35162 ITAPEVA,350270 Apiaí
RRAS 08,3516 SOROCABA,35163 SOROCABA,350275 Araçariguama
RRAS 12,3502 ARAÇATUBA,35021 CENTRAL DO DRS II,350280 Araçatuba
RRAS 08,3516 SOROCABA,35163 SOROCABA,350290 Araçoiaba da Serra
RRAS 13,3508 FRANCA,35083 ALTA MOGIANA,350300 Aramina
RRAS 09,3506 BAURU,35061 VALE DO JURUMIRIM,350310 Arandu
RRAS 17,3517 TAUBATÉ,35172 CIRCUITO DA FÉ - VALE HISTÓRICO,350315 Arapeí
RRAS 13,3503 ARARAQUARA,35031 CENTRAL DO DRS III,350320 Araraquara
RRAS 14,3510 PIRACICABA,35101 ARARAS,350330 Araras
RRAS 10,3509 MARÍLIA,35095 TUPÃ,350335 Arco-Íris
RRAS 09,3506 BAURU,35062 BAURU,350340 Arealva
RRAS 17,3517 TAUBATÉ,35172 CIRCUITO DA FÉ - VALE HISTÓRICO,350350 Areias
RRAS 09,3506 BAURU,35063 POLO CUESTA,350360 Areiópolis
RRAS 12,3515 SÃO JOSÉ DO RIO PRETO,35151 CATANDUVA,350370 Ariranha
RRAS 15,3507 CAMPINAS,35072 REG METRO CAMPINAS,350380 Artur Nogueira
RRAS 02,3501 GRANDE SÃO PAULO,35011 ALTO DO TIETÊ,350390 Arujá
RRAS 12,3515 SÃO JOSÉ DO RIO PRETO,35153 JALES,350395 Aspásia
RRAS 10,3509 MARÍLIA,35092 ASSIS,350400 Assis
RRAS 16,3507 CAMPINAS,35071 BRAGANÇA,350410 Atibaia
RRAS 12,3502 ARAÇATUBA,35021 CENTRAL DO DRS II,350420 Auriflama
RRAS 09,3506 BAURU,35062 BAURU,350430 Avaí
RRAS 12,3502 ARAÇATUBA,35023 DOS CONSÓRCIOS DO DRS II,350440 Avanhandava
RRAS 09,3506 BAURU,35061 VALE DO JURUMIRIM,350450 Avaré
RRAS 12,3515 SÃO JOSÉ DO RIO PRETO,35155 SÃO JOSÉ DO RIO PRETO,350460 Bady Bassitt
RRAS 09,3506 BAURU,35062 BAURU,350470 Balbinos
RRAS 12,3515 SÃO JOSÉ DO RIO PRETO,35155 SÃO JOSÉ DO RIO PRETO,350480 Bálsamo
RRAS 17,3517 TAUBATÉ,35172 CIRCUITO DA FÉ - VALE HISTÓRICO,350490 Bananal
RRAS 09,3506 BAURU,35061 VALE DO JURUMIRIM,350500 Barão de Antonina
RRAS 12,3502 ARAÇATUBA,35023 DOS CONSÓRCIOS DO DRS II,350510 Barbosa
RRAS 09,3506 BAURU,35064 JAU,350520 Bariri
RRAS 09,3506 BAURU,35064 JAU,350530 Barra Bonita
RRAS 08,3516 SOROCABA,35162 ITAPEVA,350535 Barra do Chapéu
RRAS 07,3512 REGISTRO,35121 VALE DO RIBEIRA,350540 Barra do Turvo
RRAS 13,3505 BARRETOS,35051 NORTE-BARRETOS,350550 Barretos
RRAS 13,3513 RIBEIRÃO PRETO,35131 HORIZONTE VERDE,350560 Barrinha
RRAS 05,3501 GRANDE SÃO PAULO,35014 ROTA DOS BANDEIRANTES,350570 Barueri
RRAS 10,3509 MARÍLIA,35095 TUPÃ,350580 Bastos
RRAS 13,3513 RIBEIRÃO PRETO,35133 VALE DAS CACHOEIRAS,350590 Batatais
RRAS 09,3506 BAURU,35062 BAURU,350600 Bauru
RRAS 13,3505 BARRETOS,35052 SUL-BARRETOS,350610 Bebedouro
RRAS 12,3502 ARAÇATUBA,35021 CENTRAL DO DRS II,350620 Bento de Abreu
RRAS 10,3509 MARÍLIA,35094 OURINHOS,350630 Bernardino de Campos
RRAS 07,3504 BAIXADA SANTISTA,35041 BAIXADA SANTISTA,350635 Bertioga
RRAS 12,3502 ARAÇATUBA,35021 CENTRAL DO DRS II,350640 Bilac
RRAS 12,3502 ARAÇATUBA,35023 DOS CONSÓRCIOS DO DRS II,350650 Birigui
RRAS 02,3501 GRANDE SÃO PAULO,35011 ALTO DO TIETÊ,350660 Biritiba-Mirim
RRAS 13,3503 ARARAQUARA,35031 CENTRAL DO DRS III,350670 Boa Esperança do Sul
RRAS 09,3506 BAURU,35064 JAU,350680 Bocaina
RRAS 09,3506 BAURU,35063 POLO CUESTA,350690 Bofete
RRAS 08,3516 SOROCABA,35163 SOROCABA,350700 Boituva
RRAS 16,3507 CAMPINAS,35071 BRAGANÇA,350710 Bom Jesus dos Perdões
RRAS 08,3516 SOROCABA,35162 ITAPEVA,350715 Bom Sucesso de Itararé
RRAS 10,3509 MARÍLIA,35092 ASSIS,350720 Borá
RRAS 09,3506 BAURU,35064 JAU,350730 Boracéia
RRAS 13,3503 ARARAQUARA,35032 CENTRO OESTE DO DRS III,350740 Borborema
RRAS 09,3506 BAURU,35062 BAURU,350745 Borebi
RRAS 09,3506 BAURU,35063 POLO CUESTA,350750 Botucatu
RRAS 16,3507 CAMPINAS,35071 BRAGANÇA,350760 Bragança Paulista
RRAS 12,3502 ARAÇATUBA,35023 DOS CONSÓRCIOS DO DRS II,350770 Braúna
RRAS 12,3502 ARAÇATUBA,35023 DOS CONSÓRCIOS DO DRS II,350775 Brejo Alegre
RRAS 13,3513 RIBEIRÃO PRETO,35133 VALE DAS CACHOEIRAS,350780 Brodowski
RRAS 09,3506 BAURU,35064 JAU,350790 Brotas
RRAS 08,3516 SOROCABA,35162 ITAPEVA,350800 Buri
RRAS 12,3502 ARAÇATUBA,35023 DOS CONSÓRCIOS DO DRS II,350810 Buritama
RRAS 13,3508 FRANCA,35083 ALTA MOGIANA,350820 Buritizal
RRAS 09,3506 BAURU,35062 BAURU,350830 Cabrália Paulista
RRAS 16,3507 CAMPINAS,35073 JUNDIAÍ,350840 Cabreúva
RRAS 17,3517 TAUBATÉ,35171 ALTO VALE DO PARAÍBA,350850 Caçapava
RRAS 17,3517 TAUBATÉ,35172 CIRCUITO DA FÉ - VALE HISTÓRICO,350860 Cachoeira Paulista
RRAS 15,3514 SÃO JOÃO DA BOA VISTA,35143 RIO PARDO,350870 Caconde
RRAS 09,3506 BAURU,35065 LINS,350880 Cafelândia
RRAS 11,3511 PRESIDENTE PRUDENTE,35112 ALTA SOROCABANA,350890 Caiabu
RRAS 03,3501 GRANDE SÃO PAULO,35012 FRANCO DA ROCHA,350900 Caieiras
RRAS 11,3511 PRESIDENTE PRUDENTE,35114 EXTREMO OESTE PAULISTA,350910 Caiuá
RRAS 03,3501 GRANDE SÃO PAULO,35012 FRANCO DA ROCHA,350920 Cajamar
RRAS 07,3512 REGISTRO,35121 VALE DO RIBEIRA,350925 Cajati
RRAS 13,3505 BARRETOS,35051 NORTE-BARRETOS,350930 Cajobi
RRAS 13,3513 RIBEIRÃO PRETO,35133 VALE DAS CACHOEIRAS,350940 Cajuru
RRAS 08,3516 SOROCABA,35161 ITAPETININGA,350945 Campina do Monte Alegre
RRAS 15,3507 CAMPINAS,35072 REG METRO CAMPINAS,350950 Campinas
RRAS 16,3507 CAMPINAS,35073 JUNDIAÍ,350960 Campo Limpo Paulista
RRAS 17,3517 TAUBATÉ,35174 V. PARAÍBA-REG. SERRANA,350970 Campos do Jordão
RRAS 10,3509 MARÍLIA,35093 MARÍLIA,350980 Campos Novos Paulista
RRAS 07,3512 REGISTRO,35121 VALE DO RIBEIRA,350990 Cananéia
RRAS 17,3517 TAUBATÉ,35172 CIRCUITO DA FÉ - VALE HISTÓRICO,350995 Canas
RRAS 10,3509 MARÍLIA,35092 ASSIS,351000 Cândido Mota
RRAS 13,3503 ARARAQUARA,35033 NORTE DO DRS III,351010 Cândido Rodrigues
RRAS 10,3509 MARÍLIA,35094 OURINHOS,351015 Canitar
RRAS 08,3516 SOROCABA,35161 ITAPETININGA,351020 Capão Bonito
RRAS 08,3516 SOROCABA,35163 SOROCABA,351030 Capela do Alto
RRAS 14,3510 PIRACICABA,35103 PIRACICABA,351040 Capivari
RRAS 17,3517 TAUBATÉ,35173 LITORAL NORTE,351050 Caraguatatuba
RRAS 05,3501 GRANDE SÃO PAULO,35014 ROTA DOS BANDEIRANTES,351060 Carapicuíba
RRAS 12,3515 SÃO JOSÉ DO RIO PRETO,35157 VOTUPORANGA,351070 Cardoso
RRAS 15,3514 SÃO JOÃO DA BOA VISTA,35143 RIO PARDO,351080 Casa Branca
RRAS 13,3513 RIBEIRÃO PRETO,35133 VALE DAS CACHOEIRAS,351090 Cássia dos Coqueiros
RRAS 12,3502 ARAÇATUBA,35022 DOS LAGOS DO DRS II,351100 Castilho
RRAS 12,3515 SÃO JOSÉ DO RIO PRETO,35151 CATANDUVA,351110 Catanduva
RRAS 12,3515 SÃO JOSÉ DO RIO PRETO,35151 CATANDUVA,351120 Catiguá
RRAS 12,3515 SÃO JOSÉ DO RIO PRETO,35155 SÃO JOSÉ DO RIO PRETO,351130 Cedral
RRAS 09,3506 BAURU,35061 VALE DO JURUMIRIM,351140 Cerqueira César
RRAS 08,3516 SOROCABA,35161 ITAPETININGA,351150 Cerquilho
RRAS 08,3516 SOROCABA,35161 ITAPETININGA,351160 Cesário Lange
RRAS 14,3510 PIRACICABA,35103 PIRACICABA,351170 Charqueada
RRAS 10,3509 MARÍLIA,35094 OURINHOS,355720 Chavantes
RRAS 12,3502 ARAÇATUBA,35023 DOS CONSÓRCIOS DO DRS II,351190 Clementina
RRAS 13,3505 BARRETOS,35051 NORTE-BARRETOS,351200 Colina
RRAS 13,3505 BARRETOS,35051 NORTE-BARRETOS,351210 Colômbia
RRAS 14,3510 PIRACICABA,35101 ARARAS,351220 Conchal
RRAS 09,3506 BAURU,35063 POLO CUESTA,351230 Conchas
RRAS 14,3510 PIRACICABA,35102 LIMEIRA,351240 Cordeirópolis
RRAS 12,3502 ARAÇATUBA,35023 DOS CONSÓRCIOS DO DRS II,351250 Coroados
RRAS 09,3506 BAURU,35061 VALE DO JURUMIRIM,351260 Coronel Macedo
RRAS 14,3510 PIRACICABA,35104 RIO CLARO,351270 Corumbataí
RRAS 15,3507 CAMPINAS,35072 REG METRO CAMPINAS,351280 Cosmópolis
RRAS 12,3515 SÃO JOSÉ DO RIO PRETO,35157 VOTUPORANGA,351290 Cosmorama
RRAS 04,3501 GRANDE SÃO PAULO,35013 MANANCIAIS,351300 Cotia
RRAS 13,3513 RIBEIRÃO PRETO,35132 AQUÍFERO GUARANI,351310 Cravinhos
RRAS 13,3508 FRANCA,35081 TRÊS COLINAS,351320 Cristais Paulista
RRAS 10,3509 MARÍLIA,35092 ASSIS,351330 Cruzália
RRAS 17,3517 TAUBATÉ,35172 CIRCUITO DA FÉ - VALE HISTÓRICO,351340 Cruzeiro
RRAS 07,3504 BAIXADA SANTISTA,35041 BAIXADA SANTISTA,351350 Cubatão
RRAS 17,3517 TAUBATÉ,35172 CIRCUITO DA FÉ - VALE HISTÓRICO,351360 Cunha
RRAS 13,3503 ARARAQUARA,35034 CORAÇÃO DO DRS III,351370 Descalvado
RRAS 01,3501 GRANDE SÃO PAULO,35015 GRANDE ABC,351380 Diadema
RRAS 12,3515 SÃO JOSÉ DO RIO PRETO,35153 JALES,351385 Dirce Reis
RRAS 15,3514 SÃO JOÃO DA BOA VISTA,35143 RIO PARDO,351390 Divinolândia
RRAS 13,3503 ARARAQUARA,35033 NORTE DO DRS III,351400 Dobrada
RRAS 09,3506 BAURU,35064 JAU,351410 Dois Córregos
RRAS 12,3515 SÃO JOSÉ DO RIO PRETO,35153 JALES,351420 Dolcinópolis
RRAS 13,3503 ARARAQUARA,35034 CORAÇÃO DO DRS III,351430 Dourado
RRAS 11,3511 PRESIDENTE PRUDENTE,35111 ALTA PAULISTA,351440 Dracena
RRAS 09,3506 BAURU,35062 BAURU,351450 Duartina
RRAS 13,3513 RIBEIRÃO PRETO,35131 HORIZONTE VERDE,351460 Dumont
RRAS 10,3509 MARÍLIA,35093 MARÍLIA,351470 Echaporã
RRAS 07,3512 REGISTRO,35121 VALE DO RIBEIRA,351480 Eldorado
RRAS 14,3510 PIRACICABA,35103 PIRACICABA,351490 Elias Fausto
RRAS 12,3515 SÃO JOSÉ DO RIO PRETO,35151 CATANDUVA,351492 Elisiário
RRAS 12,3515 SÃO JOSÉ DO RIO PRETO,35151 CATANDUVA,351495 Embaúba
RRAS 04,3501 GRANDE SÃO PAULO,35013 MANANCIAIS,351500 Embu das Artes
RRAS 04,3501 GRANDE SÃO PAULO,35013 MANANCIAIS,351510 Embu-Guaçu
RRAS 11,3511 PRESIDENTE PRUDENTE,35112 ALTA SOROCABANA,351512 Emilianópolis
RRAS 14,3510 PIRACICABA,35102 LIMEIRA,351515 Engenheiro Coelho
RRAS 15,3514 SÃO JOÃO DA BOA VISTA,35142 MANTIQUEIRA,351518 Espírito Santo do Pinhal
RRAS 10,3509 MARÍLIA,35094 OURINHOS,351519 Espírito Santo do Turvo
RRAS 15,3514 SÃO JOÃO DA BOA VISTA,35141 BAIXA MOGIANA,355730 Estiva Gerbi
RRAS 12,3515 SÃO JOSÉ DO RIO PRETO,35154 FERNANDÓPOLIS,351520 Estrela d'Oeste
RRAS 11,3511 PRESIDENTE PRUDENTE,35112 ALTA SOROCABANA,351530 Estrela do Norte
RRAS 11,3511 PRESIDENTE PRUDENTE,35115 PONTAL DO PARANAPANEMA,351535 Euclides da Cunha Paulista
RRAS 09,3506 BAURU,35061 VALE DO JURUMIRIM,351540 Fartura
RRAS 12,3515 SÃO JOSÉ DO RIO PRETO,35151 CATANDUVA,351560 Fernando Prestes
RRAS 12,3515 SÃO JOSÉ DO RIO PRETO,35154 FERNANDÓPOLIS,351550 Fernandópolis
RRAS 10,3509 MARÍLIA,35093 MARÍLIA,351565 Fernão
RRAS 02,3501 GRANDE SÃO PAULO,35011 ALTO DO TIETÊ,351570 Ferraz de Vasconcelos
RRAS 11,3511 PRESIDENTE PRUDENTE,35111 ALTA PAULISTA,351580 Flora Rica
RRAS 12,3515 SÃO JOSÉ DO RIO PRETO,35157 VOTUPORANGA,351590 Floreal
RRAS 10,3509 MARÍLIA,35091 ADAMANTINA,351600 Flórida Paulista
RRAS 10,3509 MARÍLIA,35092 ASSIS,351610 Florínia
RRAS 13,3508 FRANCA,35081 TRÊS COLINAS,351620 Franca
RRAS 03,3501 GRANDE SÃO PAULO,35012 FRANCO DA ROCHA,351630 Francisco Morato
RRAS 03,3501 GRANDE SÃO PAULO,35012 FRANCO DA ROCHA,351640 Franco da Rocha
RRAS 12,3502 ARAÇATUBA,35023 DOS CONSÓRCIOS DO DRS II,351650 Gabriel Monteiro
RRAS 10,3509 MARÍLIA,35093 MARÍLIA,351660 Gália
RRAS 10,3509 MARÍLIA,35093 MARÍLIA,351670 Garça
RRAS 12,3515 SÃO JOSÉ DO RIO PRETO,35157 VOTUPORANGA,351680 Gastão Vidigal
RRAS 13,3503 ARARAQUARA,35031 CENTRAL DO DRS III,351685 Gavião Peixoto
RRAS 12,3515 SÃO JOSÉ DO RIO PRETO,35157 VOTUPORANGA,351690 General Salgado
RRAS 09,3506 BAURU,35065 LINS,351700 Getulina
RRAS 12,3502 ARAÇATUBA,35023 DOS CONSÓRCIOS DO DRS II,351710 Glicério
RRAS 09,3506 BAURU,35065 LINS,351720 Guaiçara
RRAS 10,3509 MARÍLIA,35093 MARÍLIA,351730 Guaimbê
RRAS 13,3505 BARRETOS,35051 NORTE-BARRETOS,351740 Guaíra
RRAS 12,3515 SÃO JOSÉ DO RIO PRETO,35155 SÃO JOSÉ DO RIO PRETO,351750 Guapiaçu
RRAS 08,3516 SOROCABA,35162 ITAPEVA,351760 Guapiara
RRAS 13,3508 FRANCA,35083 ALTA MOGIANA,351770 Guará
RRAS 12,3502 ARAÇATUBA,35022 DOS LAGOS DO DRS II,351780 Guaraçaí
RRAS 13,3505 BARRETOS,35051 NORTE-BARRETOS,351790 Guaraci
RRAS 12,3515 SÃO JOSÉ DO RIO PRETO,35154 FERNANDÓPOLIS,351800 Guarani d'Oeste
RRAS 10,3509 MARÍLIA,35093 MARÍLIA,351810 Guarantã
RRAS 12,3502 ARAÇATUBA,35021 CENTRAL DO DRS II,351820 Guararapes
RRAS 02,3501 GRANDE SÃO PAULO,35011 ALTO DO TIETÊ,351830 Guararema
RRAS 17,3517 TAUBATÉ,35172 CIRCUITO DA FÉ - VALE HISTÓRICO,351840 Guaratinguetá
RRAS 08,3516 SOROCABA,35161 ITAPETININGA,351850 Guareí
RRAS 13,3513 RIBEIRÃO PRETO,35131 HORIZONTE VERDE,351860 Guariba
RRAS 07,3504 BAIXADA SANTISTA,35041 BAIXADA SANTISTA,351870 Guarujá
RRAS 02,3501 GRANDE SÃO PAULO,35011 ALTO DO TIETÊ,351880 Guarulhos
RRAS 13,3513 RIBEIRÃO PRETO,35132 AQUÍFERO GUARANI,351885 Guatapará
RRAS 12,3502 ARAÇATUBA,35021 CENTRAL DO DRS II,351890 Guzolândia
RRAS 10,3509 MARÍLIA,35095 TUPÃ,351900 Herculândia
RRAS 15,3507 CAMPINAS,35072 REG METRO CAMPINAS,351905 Holambra
RRAS 15,3507 CAMPINAS,35072 REG METRO CAMPINAS,351907 Hortolândia
RRAS 09,3506 BAURU,35062 BAURU,351910 Iacanga
RRAS 10,3509 MARÍLIA,35095 TUPÃ,351920 Iacri
RRAS 09,3506 BAURU,35061 VALE DO JURUMIRIM,351925 Iaras
RRAS 13,3503 ARARAQUARA,35034 CORAÇÃO DO DRS III,351930 Ibaté
RRAS 12,3515 SÃO JOSÉ DO RIO PRETO,35155 SÃO JOSÉ DO RIO PRETO,351940 Ibirá
RRAS 10,3509 MARÍLIA,35094 OURINHOS,351950 Ibirarema
RRAS 13,3503 ARARAQUARA,35032 CENTRO OESTE DO DRS III,351960 Ibitinga
RRAS 08,3516 SOROCABA,35163 SOROCABA,351970 Ibiúna
RRAS 12,3515 SÃO JOSÉ DO RIO PRETO,35155 SÃO JOSÉ DO RIO PRETO,351980 Icém
RRAS 11,3511 PRESIDENTE PRUDENTE,35113 ALTO CAPIVARI,351990 Iepê
RRAS 09,3506 BAURU,35064 JAU,352000 Igaraçu do Tietê
RRAS 13,3508 FRANCA,35083 ALTA MOGIANA,352010 Igarapava
RRAS 17,3517 TAUBATÉ,35171 ALTO VALE DO PARAÍBA,352020 Igaratá
RRAS 07,3512 REGISTRO,35121 VALE DO RIBEIRA,352030 Iguape
RRAS 07,3512 REGISTRO,35121 VALE DO RIBEIRA,352042 Ilha Comprida
RRAS 12,3502 ARAÇATUBA,35022 DOS LAGOS DO DRS II,352044 Ilha Solteira
RRAS 17,3517 TAUBATÉ,35173 LITORAL NORTE,352040 Ilhabela
RRAS 15,3507 CAMPINAS,35072 REG METRO CAMPINAS,352050 Indaiatuba
RRAS 11,3511 PRESIDENTE PRUDENTE,35112 ALTA SOROCABANA,352060 Indiana
RRAS 12,3515 SÃO JOSÉ DO RIO PRETO,35154 FERNANDÓPOLIS,352070 Indiaporã
RRAS 10,3509 MARÍLIA,35091 ADAMANTINA,352080 Inúbia Paulista
RRAS 10,3509 MARÍLIA,35094 OURINHOS,352090 Ipaussu
RRAS 08,3516 SOROCABA,35163 SOROCABA,352100 Iperó
RRAS 14,3510 PIRACICABA,35104 RIO CLARO,352110 Ipeúna
RRAS 12,3515 SÃO JOSÉ DO RIO PRETO,35155 SÃO JOSÉ DO RIO PRETO,352115 Ipiguá
RRAS 07,3512 REGISTRO,35121 VALE DO RIBEIRA,352120 Iporanga
RRAS 13,3508 FRANCA,35082 ALTA ANHANGUERA,352130 Ipuã
RRAS 14,3510 PIRACICABA,35102 LIMEIRA,352140 Iracemápolis
RRAS 12,3515 SÃO JOSÉ DO RIO PRETO,35151 CATANDUVA,352150 Irapuã
RRAS 11,3511 PRESIDENTE PRUDENTE,35111 ALTA PAULISTA,352160 Irapuru
RRAS 08,3516 SOROCABA,35162 ITAPEVA,352170 Itaberá
RRAS 09,3506 BAURU,35061 VALE DO JURUMIRIM,352180 Itaí
RRAS 12,3515 SÃO JOSÉ DO RIO PRETO,35151 CATANDUVA,352190 Itajobi
RRAS 09,3506 BAURU,35064 JAU,352200 Itaju
RRAS 07,3504 BAIXADA SANTISTA,35041 BAIXADA SANTISTA,352210 Itanhaém
RRAS 08,3516 SOROCABA,35162 ITAPEVA,352215 Itaóca
RRAS 04,3501 GRANDE SÃO PAULO,35013 MANANCIAIS,352220 Itapecerica da Serra
RRAS 08,3516 SOROCABA,35161 ITAPETININGA,352230 Itapetininga
RRAS 08,3516 SOROCABA,35162 ITAPEVA,352240 Itapeva
RRAS 05,3501 GRANDE SÃO PAULO,35014 ROTA DOS BANDEIRANTES,352250 Itapevi
RRAS 15,3514 SÃO JOÃO DA BOA VISTA,35141 BAIXA MOGIANA,352260 Itapira
RRAS 08,3516 SOROCABA,35162 ITAPEVA,352265 Itapirapuã Paulista
RRAS 13,3503 ARARAQUARA,35032 CENTRO OESTE DO DRS III,352270 Itápolis
RRAS 09,3506 BAURU,35061 VALE DO JURUMIRIM,352280 Itaporanga
RRAS 09,3506 BAURU,35064 JAU,352290 Itapuí
RRAS 12,3502 ARAÇATUBA,35022 DOS LAGOS DO DRS II,352300 Itapura
RRAS 02,3501 GRANDE SÃO PAULO,35011 ALTO DO TIETÊ,352310 Itaquaquecetuba
RRAS 08,3516 SOROCABA,35162 ITAPEVA,352320 Itararé
RRAS 07,3512 REGISTRO,35121 VALE DO RIBEIRA,352330 Itariri
RRAS 15,3507 CAMPINAS,35072 REG METRO CAMPINAS,352340 Itatiba
RRAS 09,3506 BAURU,35063 POLO CUESTA,352350 Itatinga
RRAS 14,3510 PIRACICABA,35104 RIO CLARO,352360 Itirapina
RRAS 13,3508 FRANCA,35081 TRÊS COLINAS,352370 Itirapuã
RRAS 15,3514 SÃO JOÃO DA BOA VISTA,35143 RIO PARDO,352380 Itobi
RRAS 08,3516 SOROCABA,35163 SOROCABA,352390 Itu
RRAS 16,3507 CAMPINAS,35073 JUNDIAÍ,352400 Itupeva
RRAS 13,3508 FRANCA,35083 ALTA MOGIANA,352410 Ituverava
RRAS 13,3505 BARRETOS,35051 NORTE-BARRETOS,352420 Jaborandi
RRAS 13,3513 RIBEIRÃO PRETO,35131 HORIZONTE VERDE,352430 Jaboticabal
RRAS 17,3517 TAUBATÉ,35171 ALTO VALE DO PARAÍBA,352440 Jacareí
RRAS 12,3515 SÃO JOSÉ DO RIO PRETO,35156 JOSÉ BONIFÁCIO,352450 Jaci
RRAS 07,3512 REGISTRO,35121 VALE DO RIBEIRA,352460 Jacupiranga
RRAS 15,3507 CAMPINAS,35072 REG METRO CAMPINAS,352470 Jaguariúna
RRAS 12,3515 SÃO JOSÉ DO RIO PRETO,35153 JALES,352480 Jales
RRAS 17,3517 TAUBATÉ,35171 ALTO VALE DO PARAÍBA,352490 Jambeiro
RRAS 05,3501 GRANDE SÃO PAULO,35014 ROTA DOS BANDEIRANTES,352500 Jandira
RRAS 13,3513 RIBEIRÃO PRETO,35132 AQUÍFERO GUARANI,352510 Jardinópolis
RRAS 16,3507 CAMPINAS,35073 JUNDIAÍ,352520 Jarinu
RRAS 09,3506 BAURU,35064 JAU,352530 Jaú
RRAS 13,3508 FRANCA,35081 TRÊS COLINAS,352540 Jeriquara
RRAS 16,3507 CAMPINAS,35071 BRAGANÇA,352550 Joanópolis
RRAS 11,3511 PRESIDENTE PRUDENTE,35113 ALTO CAPIVARI,352560 João Ramalho
RRAS 12,3515 SÃO JOSÉ DO RIO PRETO,35156 JOSÉ BONIFÁCIO,352570 José Bonifácio
RRAS 10,3509 MARÍLIA,35093 MARÍLIA,352580 Júlio Mesquita
RRAS 08,3516 SOROCABA,35163 SOROCABA,352585 Jumirim
RRAS 16,3507 CAMPINAS,35073 JUNDIAÍ,352590 Jundiaí
RRAS 11,3511 PRESIDENTE PRUDENTE,35111 ALTA PAULISTA,352600 Junqueirópolis
RRAS 07,3512 REGISTRO,35121 VALE DO RIBEIRA,352610 Juquiá
RRAS 04,3501 GRANDE SÃO PAULO,35013 MANANCIAIS,352620 Juquitiba
RRAS 17,3517 TAUBATÉ,35174 V. PARAÍBA-REG. SERRANA,352630 Lagoinha
RRAS 09,3506 BAURU,35063 POLO CUESTA,352640 Laranjal Paulista
RRAS 12,3502 ARAÇATUBA,35022 DOS LAGOS DO DRS II,352650 Lavínia
RRAS 17,3517 TAUBATÉ,35172 CIRCUITO DA FÉ - VALE HISTÓRICO,352660 Lavrinhas
RRAS 14,3510 PIRACICABA,35101 ARARAS,352670 Leme
RRAS 09,3506 BAURU,35062 BAURU,352680 Lençóis Paulista
RRAS 14,3510 PIRACICABA,35102 LIMEIRA,352690 Limeira
RRAS 15,3507 CAMPINAS,35074 CIRCUITO DAS ÁGUAS,352700 Lindóia
RRAS 09,3506 BAURU,35065 LINS,352710 Lins
RRAS 17,3517 TAUBATÉ,35172 CIRCUITO DA FÉ - VALE HISTÓRICO,352720 Lorena
RRAS 12,3502 ARAÇATUBA,35023 DOS CONSÓRCIOS DO DRS II,352725 Lourdes
RRAS 16,3507 CAMPINAS,35073 JUNDIAÍ,352730 Louveira
